Price,Close,High,Low,Open,Volume
Ticker,BDL.NS,BDL.NS,BDL.NS,BDL.NS,BDL.NS
Date,,,,,
2024-08-02,1418.150390625,1438.9350569056517,1405.959461851564,1427.9431918876223,797569
2024-08-05,1340.158203125,1376.9809270316903,1326.0686549004365,1358.8443251134584,1961750
2024-08-06,1341.5572509765625,1408.9573238093246,1337.0105668488486,1345.9040098135827,1644757
2024-08-07,1401.61279296875,1406.958812355484,1349.1016038434364,1384.0757220482958,1105077
2024-08-08,1413.2041015625,1442.9321001635142,1374.9823890754817,1401.6127046552547,1458258
2024-08-09,1432.989501953125,1448.8776455777445,1421.5979083886532,1435.9372714985643,828994
2024-08-12,1342.9560546875,1358.944222145867,1221.4460063999188,1224.044059215896,4454884
2024-08-13,1334.6622314453125,1356.9456660753578,1321.2721171496607,1356.9456660753578,1215844
2024-08-14,1316.8255615234375,1350.2007652941068,1299.5883175603042,1344.0053988645923,1026488
2024-08-16,1317.8248291015625,1339.0091034385728,1299.138584096893,1329.0164981890312,1029263
2024-08-19,1329.615966796875,1350.0009049312976,1312.3288337263405,1312.3288337263405,855127
2024-08-20,1308.181884765625,1338.959034431655,1304.0849411843076,1336.3110917376591,686091
2024-08-21,1320.4228515625,1328.8166641741875,1301.1370750844583,1308.031996943346,821291
2024-08-22,1303.4853515625,1331.9642767111095,1300.7873969193868,1322.6712269559064,641733
2024-08-23,1314.7769775390625,1344.0053466008276,1309.031229774784,1323.0208765052014,1224789
2024-08-26,1310.6300048828125,1333.413192335667,1306.033431127949,1324.020119544401,603827
2024-08-27,1311.0797119140625,1323.5204556268081,1307.7320918488347,1317.0252627528373,375399
2024-08-28,1322.271484375,1328.466850813003,1309.4809009145524,1318.9738758637777,711054
2024-08-29,1297.689697265625,1323.0209270237337,1276.2554859471916,1322.1715799786775,1087666
2024-08-30,1301.9365234375,1330.7651643245888,1279.1034455208994,1299.0386436057559,1436261
2024-09-02,1302.8857421875,1310.4800973796619,1285.0489671560308,1303.3354825879803,724992
2024-09-03,1319.273681640625,1353.9979841871213,1314.0275639897154,1321.0223875242614,1764895
2024-09-04,1326.1185302734375,1364.9897865107841,1318.02454495441,1321.0223263303487,1504314
2024-09-05,1311.3795166015625,1337.0105732881857,1306.8828442698757,1336.910671632379,540892
2024-09-06,1288.7462158203125,1317.0253367132277,1284.599382336546,1317.0253367132277,555784
2024-09-09,1236.235107421875,1288.7461716165544,1225.0933288523734,1286.4978355725757,1112530
2024-09-10,1249.37548828125,1264.0645692664789,1240.2322300443016,1242.580467891594,478441
2024-09-11,1236.78466796875,1262.6655392291873,1231.13894374645,1252.073402360217,355035
2024-09-12,1236.385009765625,1251.8735468181515,1232.0881410171032,1246.0277755723625,368195
2024-09-13,1240.5819091796875,1257.7691409659155,1236.884694126384,1242.4305167063392,349041
2024-09-16,1225.69287109375,1247.7266133029748,1224.0940787338604,1246.8272544817748,357486
2024-09-17,1192.917236328125,1227.0918967116274,1184.1737069338035,1214.1515220000485,933928
2024-09-18,1165.5374755859375,1199.6622461737636,1162.1399654782988,1196.0149209402696,794339
2024-09-19,1120.4708251953125,1178.028204456515,1095.1894862552513,1167.1362408267642,1852164
2024-09-20,1148.550048828125,1182.1251773996814,1110.4782479841267,1126.1165773031405,2710099
2024-09-23,1162.75,1183.0,1154.6500244140625,1164.0,930169
2024-09-24,1141.199951171875,1167.5,1134.199951171875,1165.0,720477
2024-09-25,1118.449951171875,1152.0,1108.5,1140.0,908278
2024-09-26,1123.6500244140625,1133.0,1112.0,1118.9000244140625,516105
2024-09-27,1130.25,1147.9000244140625,1121.949951171875,1124.0,661533
2024-09-30,1160.0,1165.949951171875,1114.800048828125,1134.4000244140625,994630
2024-10-01,1127.199951171875,1162.0,1121.050048828125,1160.0,688191
2024-10-03,1122.9000244140625,1128.0,1101.1500244140625,1101.6500244140625,726470
2024-10-04,1108.3499755859375,1132.0,1089.0,1124.949951171875,634583
2024-10-07,1109.300048828125,1142.699951171875,1040.5999755859375,1106.050048828125,1325697
2024-10-08,1149.199951171875,1152.0,1080.0,1110.0,1020404
2024-10-09,1163.0999755859375,1188.0,1145.300048828125,1154.949951171875,1016251
2024-10-10,1217.699951171875,1221.0,1175.0,1180.050048828125,1453370
2024-10-11,1221.949951171875,1230.0,1200.0,1225.0,646146
2024-10-14,1189.199951171875,1226.0,1186.8499755859375,1222.0,477558
2024-10-15,1204.0,1215.0,1170.0,1190.0,722719
2024-10-16,1196.0999755859375,1225.5,1185.6500244140625,1202.5,483728
2024-10-17,1152.4000244140625,1197.550048828125,1150.0,1196.050048828125,386714
2024-10-18,1129.8499755859375,1149.949951171875,1114.25,1149.949951171875,646505
2024-10-21,1117.0,1146.0,1112.199951171875,1129.050048828125,368863
2024-10-22,1057.8499755859375,1121.800048828125,1030.75,1120.0,1277242
2024-10-23,1072.949951171875,1086.949951171875,1018.0,1050.0,680436
2024-10-24,1050.25,1080.0,1042.050048828125,1065.25,383274
2024-10-25,1033.6500244140625,1056.800048828125,1000.0,1050.25,794222
2024-10-28,1047.9000244140625,1058.300048828125,1010.0,1033.6500244140625,446068
2024-10-29,1046.75,1068.3499755859375,1035.0,1050.0,372584
2024-10-30,1063.8499755859375,1081.0,1039.0,1045.0,465965
2024-10-31,1085.300048828125,1090.5,1053.300048828125,1060.75,314525
2024-11-01,1115.8499755859375,1119.9000244140625,1089.0,1090.75,262995
2024-11-04,1053.5999755859375,1117.0,1050.0,1115.8499755859375,589782
2024-11-05,1032.25,1061.0,1023.5999755859375,1058.949951171875,659357
2024-11-06,1080.6500244140625,1119.5999755859375,1037.4000244140625,1037.5,942875
2024-11-07,1077.0999755859375,1099.25,1066.75,1080.6500244140625,412364
2024-11-08,1050.300048828125,1079.949951171875,1047.0,1075.5,335812
